,DateTime,Open,High,Low,Close,Volume
39131,2024-03-07 17:06:00,926.0,926.44,925.2624,925.52,921
39132,2024-03-07 17:07:00,926.19,926.19,925.35,925.6072,1504
39133,2024-03-07 17:08:00,926.0,926.0,925.52,925.63,1726
39134,2024-03-07 17:09:00,925.8,926.25,925.8,926.25,2137
39135,2024-03-07 17:10:00,926.49,926.91,926.0616,926.0616,4840
39136,2024-03-07 17:11:00,926.729,929.95,926.168,929.92,31130
39137,2024-03-07 17:12:00,929.95,932.97,929.95,932.52,20514
39138,2024-03-07 17:13:00,932.5,933.66,930.23,931.0871,20385
39139,2024-03-07 17:14:00,931.8,931.99,929.0,929.5,14527
39140,2024-03-07 17:15:00,930.04,931.929,930.0,931.57,5985
39141,2024-03-07 17:16:00,931.25,932.49,930.6832,932.49,10722
39142,2024-03-07 17:17:00,932.0,934.06,932.0,933.7818,15042
39143,2024-03-07 17:18:00,933.4,935.5,933.0,935.0,31621
39144,2024-03-07 17:19:00,935.01,935.49,933.55,933.6,20565
39145,2024-03-07 17:20:00,933.71,935.4096,933.0937,935.4096,14785
39146,2024-03-07 17:21:00,935.0,936.5,934.05,936.0,24647
39147,2024-03-07 17:22:00,935.1,935.7499,934.433,935.13,6091
39148,2024-03-07 17:23:00,935.69,936.0,934.538,935.22,10767
39149,2024-03-07 17:24:00,935.37,935.74,934.5,934.54,5679
39150,2024-03-07 17:25:00,934.9799,934.9799,933.5,933.5,9100
39151,2024-03-07 17:26:00,933.57,933.71,932.0,932.86,15580
39152,2024-03-07 17:27:00,933.33,933.98,932.37,932.58,3867
39153,2024-03-07 17:28:00,932.581,934.48,932.58,933.94,11933
39154,2024-03-07 17:29:00,934.44,935.25,933.9229,935.25,5580
39155,2024-03-07 17:30:00,935.39,936.0,934.32,935.0,19042
39156,2024-03-07 17:31:00,935.0,936.93,935.0,935.98,18081
39157,2024-03-07 17:32:00,935.89,937.0,934.6052,934.88,7776
39158,2024-03-07 17:33:00,935.0108,936.0,935.0108,935.62,2359
39159,2024-03-07 17:34:00,935.5,936.0,934.88,935.27,7877
39160,2024-03-07 17:35:00,935.29,935.29,933.81,934.32,5986
39161,2024-03-07 17:36:00,934.02,935.0,934.02,934.4286,1998
39162,2024-03-07 17:37:00,934.9873,935.25,934.92,935.06,3207
39163,2024-03-07 17:38:00,935.0,937.2,935.0,936.8,6909
39164,2024-03-07 17:39:00,936.8,937.29,936.0,937.2,6261
39165,2024-03-07 17:40:00,936.99,937.29,936.16,936.55,5584
39166,2024-03-07 17:41:00,936.77,937.5,936.7,937.5,6067
39167,2024-03-07 17:42:00,937.825,938.71,937.2,938.71,15304
39168,2024-03-07 17:43:00,938.83,938.99,937.0,937.01,13515
39169,2024-03-07 17:44:00,937.51,938.5,937.0614,938.5,3854
39170,2024-03-07 17:45:00,926.69,938.72,926.69,938.5,10700
39171,2024-03-07 17:46:00,938.5,938.5,937.6,938.0,3650
39172,2024-03-07 17:47:00,938.0,938.33,937.5,937.8,5130
39173,2024-03-07 17:48:00,937.5,938.0,937.1,937.25,4544
39174,2024-03-07 17:49:00,937.21,937.64,937.0,937.15,6257
39175,2024-03-07 17:50:00,937.21,937.5,937.0,937.25,4702
39176,2024-03-07 17:51:00,937.06,938.1,937.0,937.6238,5031
39177,2024-03-07 17:52:00,938.2,938.25,937.25,937.26,3778
39178,2024-03-07 17:53:00,937.46,938.5,937.46,938.32,7038
39179,2024-03-07 17:54:00,938.5,938.8,938.0,938.66,9036
39180,2024-03-07 17:55:00,938.69,938.72,938.25,938.63,7971
39181,2024-03-07 17:56:00,938.5,939.5,938.5,939.33,10281
39182,2024-03-07 17:57:00,939.24,940.45,939.0,940.3,12681
39183,2024-03-07 17:58:00,940.06,940.45,939.71,940.07,9680
39184,2024-03-07 17:59:00,940.5,940.8,940.0,940.07,11158
39185,2024-03-07 18:00:00,940.25,940.8,939.75,940.8,4622
39186,2024-03-07 18:01:00,940.8,941.4391,940.65,940.9799,8964
39187,2024-03-07 18:02:00,940.65,940.92,939.68,940.0,12238
39188,2024-03-07 18:03:00,939.69,940.0,939.0,939.0,6989
39189,2024-03-07 18:04:00,939.0,939.0,938.25,938.56,4871
39190,2024-03-07 18:05:00,938.8,938.8,938.0,938.09,4949
39191,2024-03-07 18:06:00,938.25,938.8,938.08,938.53,4755
39192,2024-03-07 18:07:00,938.43,938.43,937.0,937.34,13095
39193,2024-03-07 18:08:00,937.99,938.5,937.99,938.2,2540
39194,2024-03-07 18:09:00,938.21,939.0,937.3,937.57,9647
39195,2024-03-07 18:10:00,938.0,938.2,937.5978,938.0,1538
39196,2024-03-07 18:11:00,937.98,938.28,937.8,938.28,638
39197,2024-03-07 18:12:00,938.2146,938.49,938.1514,938.48,2066
39198,2024-03-07 18:13:00,938.49,938.8,937.98,938.16,6173
39199,2024-03-07 18:14:00,938.16,938.161,937.6288,937.6288,2780
39200,2024-03-07 18:15:00,937.722,937.722,937.0,937.05,4516
39201,2024-03-07 18:16:00,937.05,937.47,937.0,937.24,4248
39202,2024-03-07 18:17:00,937.19,937.5477,937.0901,937.37,1484
39203,2024-03-07 18:18:00,937.25,937.781,937.25,937.781,1059
39204,2024-03-07 18:19:00,937.67,938.3399,937.63,938.1,3342
